model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean
all-mpnet-base-v2,0.4199999999999998,0.9790622045761482,2.1285454760094128e-05,0.8750127168266595,0.00015972654134301968,0.9240535149915603,4.3896383235932234e-05,0.8750127168266595,0.9812779592297953
all-mpnet-base-v2,0.4299999999999998,0.980878493133466,2.0865601331800825e-05,0.8646973470035233,0.00022210490270184124,0.9190571124131509,7.373564710220449e-05,0.8646973470035233,0.9832019780261136
all-mpnet-base-v2,0.43999999999999984,0.9830103677890317,1.2759218388799579e-05,0.8524458082768017,0.00020848097656512402,0.9130253666243539,7.970070581976928e-05,0.8524458082768017,0.9853939033067869
all-mpnet-base-v2,0.44999999999999984,0.9856674309705722,1.2810473617896555e-05,0.8405938186745925,0.00015993363551357098,0.9073112712320972,5.3505348313402396e-05,0.8405938186745925,0.9878007434793858
all-mpnet-base-v2,0.45999999999999985,0.9880162802016192,1.7307648117484217e-05,0.8313000148591128,0.0001768929958948315,0.9028559558860174,7.258870263159896e-05,0.8313000148591128,0.989986529538313
all-mpnet-base-v2,0.46999999999999986,0.9891250605879074,1.6145468170639445e-05,0.8196365501059557,0.00015443982035402595,0.8963956743101056,6.750223179130837e-05,0.8196365501059557,0.9910824921786496
all-mpnet-base-v2,0.47999999999999976,0.9899528599953771,1.309655207191027e-05,0.8088228623692265,0.00016162843609329332,0.8902220155413468,7.123957487401478e-05,0.8088228623692265,0.9919042507661668
all-mpnet-base-v2,0.48999999999999977,0.9914948208092614,9.785810770589499e-06,0.8016568101403273,0.0002353203080199315,0.886466263582647,0.00010926122964116655,0.8016568101403273,0.993262922105362
all-mpnet-base-v2,0.4999999999999998,0.9917228761265594,7.385952984622919e-06,0.7878765166075872,0.00017319895945857997,0.8780765894322808,8.040589954058084e-05,0.7878765166075872,0.9935193323617721
all-mpnet-base-v2,0.5099999999999998,0.9932937971977353,9.851838210790705e-06,0.7731961461228507,0.00017272265447491162,0.8694888584021282,8.795481945042224e-05,0.7731961461228507,0.9948717052585192
all-mpnet-base-v2,0.5199999999999998,0.9942492377105422,6.088030491752842e-06,0.7593211447656308,0.00016287089593442275,0.8610006822473426,8.050318297057044e-05,0.7593211447656308,0.9956814177266077
all-mpnet-base-v2,0.5299999999999998,0.9952037624914192,8.031242411513441e-06,0.7454234231418317,0.0002040206155737657,0.8523311533110276,0.00010518714822161843,0.7454234231418317,0.9965035669849065
all-mpnet-base-v2,0.5399999999999998,0.9966384215549935,3.2122782646678796e-06,0.7297235385716669,0.00017346537340678507,0.8424851674856288,8.380936171258456e-05,0.7297235385716669,0.9975643327032065
all-mpnet-base-v2,0.5499999999999998,0.9965574817890192,3.3547461620037017e-06,0.7120784428552185,0.00016476119859516842,0.8305745732702732,8.234838206866085e-05,0.7120784428552185,0.9975643327032065
all-mpnet-base-v2,0.5599999999999997,0.9980557342289629,1.3969273139479317e-06,0.6977088847130033,0.00017014559747133127,0.8212151561737082,8.400538134744007e-05,0.6977088847130033,0.9986425015471341
all-mpnet-base-v2,0.5699999999999997,0.9980180414662595,1.4412995938535475e-06,0.6822350081898968,0.00019458565220896307,0.8103689136792855,9.744631690905323e-05,0.6822350081898968,0.9986425015471341
all-mpnet-base-v2,0.5799999999999997,0.9979658312391958,1.514705129788259e-06,0.6654109981808076,0.00019145823805189244,0.7983608832119728,0.0001004205148831427,0.6654109981808076,0.9986425015471341
all-mpnet-base-v2,0.5899999999999997,0.9983292008410265,2.2917657480313526e-06,0.6491338044524128,0.00017424548163966973,0.7866476255792774,9.753184106353346e-05,0.6491338044524128,0.998910957922973
